Name,Website,Location,LinkedIn company page,Description,Investment Focus Areas,Stage
Form Capital,https://formcapital.com,"San Francisco,California,United States",https://www.linkedin.com/company/formcapital,A new early-stage fund from Bobby Goodlatte & Josh Williams that invests real design expertise alongside seed capital.,,"Pre-seed,Seed,A-round"
Cantos,http://cantos.vc/,"San Francisco,California,United States",https://www.linkedin.com/company/cantos-ventures,"A pre-seed investing in near frontier tech that will change the world... and just might save it. We back deeply technical founders at inception across climate tech, computational biology, aerospace, and next-generation computing.
","Aerospace,Biotechnology","Pre-seed,Seed,A-round"
Excelerate Health Ventures,https://exceleratehealth.com,"Durham,North Carolina,United States",https://www.linkedin.com/company/excelerate-health-ventures,A seed and early-stage digital healthcare VC firm focused on healthcare software and tech-enabled healthcare services startups,Healthcare,Seed
Hathi Venture Capital,https://www.hathi.vc/,"St Louis,Missouri,United States",https://www.linkedin.com/company/85613837/,"A seed stage venture fund investing in diverse founding teams leveraging deep technology (e.g. AI, robotics) to solve big problems in foundational industries from farming and healthcare to finance and supply chain.","AI & Machine Learning,Agriculture/agtech,Healthcare,Manufacturing",Seed
AIN Ventures,https://www.ainventures.com/,"New York,United States",https://www.linkedin.com/company/academy-investor-network/?viewAsMember=true,A seed-stage focused venture fund that invests in dual-use technology and military veteran-led startups.,,A-round
Acrew Capital,https://acrewcapital.com/,"San Francisco,California,United States",https://www.linkedin.com/company/acrew-capital/,A stage agnostic venture capital firm investing in transformative companies and diversifying the cap tables of leading growth companies.,,"Pre-seed,Seed,A-round"
Pebblebed,http://www.pebblebed.com,"San Francisco,California,United States",https://www.linkedin.com/company/81807035/,"A technologist community and seed-stage fund.We partner with technical founders taking engineering risk to solve hard problems, typically across AI, Computing Infrastructure & TechBio.",,Seed
Markd,https://markd.vc,"Boulder,Colorado,United States",https://www.linkedin.com/company/markdvc,A venture capital company focused on funding and partnering with transformative Insurtechs.,,A-round
3Lines,https://3lines.vc,"Greenwood Village,Colorado,United States",https://www.linkedin.com/company/3lines-venture-capital/,"A venture capital firm specializing in disruptive technology companies driving Future of Work, Future of Enterprise, and Future of Industry",,A-round
Visionary Venture Fund,http://visionaryvc.com/,"Aliso Viejo,California,United States",https://www.linkedin.com/company/visionary-ventures-fund/,A venture capital fund that invests in the future of ophthalmology.,,A-round
Revolution Ventures,https://www.revolution.com,"Washington,District of Columbia,United States",https://www.linkedin.com/company/revolution-llc,"A Washington, DC-based investment firm founded by Steve Case in 2005, Revolution’s mission is to build disruptive, innovative companies that offer consumers more choice, convenience, and control in their lives. Revolution aims to transform markets by shifting power to consumers, and seeks to create significant value for companies that are attacking large, traditional industries with innovative new products and services.",Consumer Products & Services,A-round
A-Grade Investments,http://www.agradeinvestments.com/,"Los Angeles,California,United States",https://www.linkedin.com/company/a-grade-investments/about/,"A-Grade Investments is a venture capital fund founded by long-time friends Ashton Kutcher, Guy Oseary, and Ron Burkle. Opportunistically invest in technology start-up companies.",,Seed
A-Street Ventures,https://www.astreet.ventures,"Bentonville,Arkansas,United States",https://www.linkedin.com/company/a-street-ventures,A-Street Ventures invests in innovative K-12 student learning and achievement solutions for students.,,A-round
A.Capital Ventures,http://www.acapital.com,"Menlo Park,California,United States",https://www.linkedin.com/company/a-capital-ventures,A.Capital Ventures is an early stage venture capital firm investing in consumer and enterprise technology companies.,Consumer Products & Services,"Pre-seed,Seed,A-round"
A.J. Ventures,http://www.ajventures.co,"Portola Valley,California,United States",https://www.linkedin.com/company/11167749/,"A.J. Ventures is an angel firm investing in seed and early stage companies.  We focus on seed stage as well as investing in existing companies; providing the collateral to facilitate the funding for these companies in exchange for a success fee, equity in the company is funded, or a hybrid of both. Our sector focus adjusts from time to time in accordance with changes in the capital markets.



",,Seed
AAF Management Ltd.,http://www.aaf.vc,"Washington,District of Columbia,United States",https://www.linkedin.com/company/aafmanagement/,AAF Management Ltd. is an early-stage VC firm focused on Seed and Series A technology companies.,,A-round
Abstract Ventures,http://www.abstract.vc,"San Francisco,California,United States",https://www.linkedin.com/company/abstract-ventures,"Abstract Ventures is a sector agnostic venture investor in pre-seed, seed, and series A startup companies.",Sector Agnostic,"Pre-seed,Seed,A-round"
Abundance Partners,http://www.AbundancePartnersLLC.com,"New York,United States",http://www.linkedin.com/company/abundance-partners,"Abundance Partners was founded in 2003 as an alternative investment firm based in the Union Square area of New York City.   The Firm has been an active investor in both public and private markets.  While the partners of Abundance have been involved in entrepreneurial ventures for over 30 years, the firm formally began making investments in private companies in 2007. ",,A-round
Acadian Capital Ventures,http://www.acadian.vc,"Lafayette,Louisiana,United States",https://www.linkedin.com/company/30626524/,Acadian Capital Ventures seeks out startup companies in communities often overlooked by venture capital and provides access to seed funding and mentorship.,,Seed
Acadian Ventures,https://www.acadianventures.com,"New York,United States",https://www.linkedin.com/company/acadianventures,Acadian Ventures is the first early-stage venture capital firm specializing in the future of work,,"Seed,A-round"
Access Venture Partners,http://www.accessvp.com,"Westminster,Colorado,United States",http://www.linkedin.com/company/access-venture-partners,Access Venture Partners is Colorado-based venture capital firm investing in innovative early-stage technology companies.,,"Pre-seed,Seed,A-round"
Access Ventures,http://accessventures.org,"Louisville,Kentucky,United States",https://www.linkedin.com/company/access-ventures,"Access Ventures invest across asset classes with focus on saas, operating orgs, and real estate.","SaaS,Real Estate","Pre-seed,Seed,A-round"
Mei Capital,http://meicapitalfund.org,"Dallas,Texas,United States",https://www.linkedin.com/company/71376668/,"Access. Education. Capital. Community. Closing the economic and educational gap within minority communities across the Midwest and Southeast through entrepreneurship. The Minority Entrepreneurship Institute is a seed-stage impact investing fund that hosts annual pitch competitions for Black, LatinX, and Female Founders.","Education,Impact",Seed
Accion Venture Lab,http://www.accion.org/venturelab,"Washington,District of Columbia,United States",http://www.linkedin.com/company/15885,"Accion is a global nonprofit on a mission to create a fair and inclusive economy where underserved people have quality financial choices and opportunities to improve their economic wellbeing. We are the leading early-stage investor in fintech for inclusion and experts in digital transformation with decades of experience harnessing the capital markets to deliver cheaper, more accessible, and customer-friendly solutions for the 1.8 billion people left out of, or poorly served by, the financial sector. For more than 60 years, Accion has helped tens of millions of people through our work with more than 200 partners in 63 countries.","Diversity & Inclusion,Fintech","Pre-seed,Seed,A-round"
